kind	name	parent	source	source_term	status	count
genre	1		discogs_20260301_masters	1	native	6
genre	Blues		discogs_20260301_masters	Blues	native	53173
genre	Blues		mb_genres_v0	blues	exact	53173
genre	Brass & Military		discogs_20260301_masters	Brass & Military	native	8872
genre	Children's		discogs_20260301_masters	Children's	native	25908
genre	Classical		discogs_20260301_masters	Classical	native	155567
genre	Classical		mb_genres_v0	classical	exact	25889
genre	Electronic		discogs_20260301_masters	Electronic	native	694640
genre	Electronic		mb_genres_v0	electronic	exact	694640
genre	Folk, World, & Country		discogs_20260301_masters	Folk, World, & Country	native	332077
genre	Funk / Soul		discogs_20260301_masters	Funk / Soul	native	175908
genre	Hip Hop		discogs_20260301_masters	Hip Hop	native	122414
genre	Hip Hop		mb_genres_v0	hip hop	exact	8003
genre	Jazz		discogs_20260301_masters	Jazz	native	200211
genre	Jazz		mb_genres_v0	jazz	exact	200211
genre	Latin		discogs_20260301_masters	Latin	native	109875
genre	Latin		mb_genres_v0	latin	exact	4527
genre	Non-Music		discogs_20260301_masters	Non-Music	native	43682
genre	Non-Music		mb_genres_v0	non-music	exact	43682
genre	Pop		discogs_20260301_masters	Pop	native	522683
genre	Pop		mb_genres_v0	pop	exact	522683
genre	Reggae		discogs_20260301_masters	Reggae	native	63734
genre	Reggae		mb_genres_v0	reggae	exact	13206
genre	Rock		discogs_20260301_masters	Rock	native	776857
genre	Rock		mb_genres_v0	rock	exact	776857
genre	Stage & Screen		discogs_20260301_masters	Stage & Screen	native	74213
style	Aboriginal	Folk, World, & Country	discogs_20260301_masters	Aboriginal	native	616
style	Abstract	Electronic	discogs_20260301_masters	Abstract	native	21619
style	Abstract Hip Hop	Hip Hop	mb_genres_v0	abstract hip hop	added	
style	Acid	Electronic	discogs_20260301_masters	Acid	native	14358
style	Acid Breaks	Electronic	mb_genres_v0	acid breaks	added	
style	Acid House	Electronic	discogs_20260301_masters	Acid House	native	4195
style	Acid House	Electronic	mb_genres_v0	acid house	exact	4195
style	Acid Jazz	Electronic	discogs_20260301_masters	Acid Jazz	native	3204
style	Acid Jazz	Electronic	mb_genres_v0	acid jazz	exact	3204
style	Acid Rock	Rock	discogs_20260301_masters	Acid Rock	native	1554
style	Acid Rock	Rock	mb_genres_v0	acid rock	exact	1554
style	Acid Techno	Electronic	mb_genres_v0	acid techno	added	
style	Acid Trance	Electronic	mb_genres_v0	acid trance	added	
style	Acousmatic	Electronic	mb_genres_v0	acousmatic	added	
style	Acoustic	Rock	discogs_20260301_masters	Acoustic	native	18107
style	Acoustic Blues	Blues	mb_genres_v0	acoustic blues	added	
style	Acoustic Chicago Blues	Blues	mb_genres_v0	acoustic chicago blues	added	
style	Acoustic Rock	Rock	mb_genres_v0	acoustic rock	added	
style	Acoustic Texas Blues	Blues	mb_genres_v0	acoustic texas blues	added	
style	African	Folk, World, & Country	discogs_20260301_masters	African	native	11695
style	African Blues	Blues	mb_genres_v0	african blues	added	
style	Afro House	Electronic	mb_genres_v0	afro house	added	
style	Afro Rock	Rock	mb_genres_v0	afro rock	added	
style	Afro-Cuban	Latin	discogs_20260301_masters	Afro-Cuban	native	2478
style	Afro-Cuban Jazz	Jazz	discogs_20260301_masters	Afro-Cuban Jazz	native	1427
style	Afro-Cuban Jazz	Jazz	mb_genres_v0	afro-cuban jazz	exact	1427
style	Afro-Funk	Funk / Soul	mb_genres_v0	afro-funk	added	
style	Afro-Jazz	Jazz	mb_genres_v0	afro-jazz	added	
style	Afrobeat	Funk / Soul	discogs_20260301_masters	Afrobeat	native	2740
style	Afrobeat	Funk / Soul	mb_genres_v0	afrobeat	exact	2740
style	Aguinaldo	Latin	discogs_20260301_masters	Aguinaldo	native	105
style	Aleatoric	Classical	discogs_20260301_masters	Aleatoric	native	4
style	Algorave	Electronic	mb_genres_v0	algorave	added	
style	Alt-Pop	Pop	discogs_20260301_masters	Alt-Pop	native	968
style	Alternative Country	Folk, World, & Country	mb_genres_v0	alternative country	added	
style	Alternative Folk	Folk, World, & Country	mb_genres_v0	alternative folk	added	
style	Alternative Hip Hop	Hip Hop	mb_genres_v0	alternative hip hop	added	
style	Alternative Metal	Rock	discogs_20260301_masters	Alternative Metal	native	880
style	Alternative Metal	Rock	mb_genres_v0	alternative metal	exact	880
style	Alternative Pop	Pop	mb_genres_v0	alternative pop	added	
style	Alternative Punk	Rock	mb_genres_v0	alternative punk	added	
style	Alternative R&B	Funk / Soul	mb_genres_v0	alternative r&b	added	
style	Alternative Rock	Rock	discogs_20260301_masters	Alternative Rock	native	65853
style	Alternative Rock	Rock	mb_genres_v0	alternative rock	exact	65853
style	Amapiano	Electronic	discogs_20260301_masters	Amapiano	native	13
style	Amapiano	Electronic	mb_genres_v0	amapiano	exact	13
style	Ambient	Electronic	discogs_20260301_masters	Ambient	native	68533
style	Ambient	Electronic	mb_genres_v0	ambient	exact	68533
style	Ambient Americana	Folk, World, & Country	mb_genres_v0	ambient americana	added	
style	Ambient House	Electronic	discogs_20260301_masters	Ambient House	native	160
style	Ambient House	Electronic	mb_genres_v0	ambient house	exact	160
style	Ambient Plugg	Hip Hop	mb_genres_v0	ambient plugg	added	
style	Ambient Pop	Pop	mb_genres_v0	ambient pop	added	
style	Ambient Techno	Electronic	mb_genres_v0	ambient techno	added	
style	Ambient Trance	Electronic	mb_genres_v0	ambient trance	added	
style	Ambrosian Chant	Classical	mb_genres_v0	ambrosian chant	added	
style	Americana	Folk, World, & Country	mb_genres_v0	americana	added	
style	Anarcho-Punk	Rock	discogs_20260301_masters	Anarcho-Punk	native	83
style	Anarcho-Punk	Rock	mb_genres_v0	anarcho-punk	exact	83
style	Anatolian Rock	Rock	discogs_20260301_masters	Anatolian Rock	native	32
style	Anatolian Rock	Rock	mb_genres_v0	anatolian rock	exact	32
style	Andalusian Classical	Folk, World, & Country	discogs_20260301_masters	Andalusian Classical	native	155
style	Andalusian Classical	Folk, World, & Country	mb_genres_v0	andalusian classical	exact	155
style	Andean Music	Folk, World, & Country	discogs_20260301_masters	Andean Music	native	903
style	Animal Sounds	Non-Music	mb_genres_v0	animal sounds	added	
style	Anison	Stage & Screen	discogs_20260301_masters	Anison	native	2043
style	Antifolk	Folk, World, & Country	discogs_20260301_masters	Antifolk	native	30
style	Antifolk	Folk, World, & Country	mb_genres_v0	anti-folk	exact	30
style	AOR	Rock	discogs_20260301_masters	AOR	native	4817
style	AOR	Rock	mb_genres_v0	aor	exact	4817
style	Appalachian Folk	Folk, World, & Country	mb_genres_v0	appalachian folk	added	
style	Appalachian Music	Folk, World, & Country	discogs_20260301_masters	Appalachian Music	native	547
style	Arabesk Rap	Hip Hop	mb_genres_v0	arabesk rap	added	
style	Arabic Pop	Pop	discogs_20260301_masters	Arabic Pop	native	152
style	Arena Rock	Rock	discogs_20260301_masters	Arena Rock	native	3167
style	Arena Rock	Rock	mb_genres_v0	arena rock	exact	3167
style	Ars Antiqua	Classical	mb_genres_v0	ars antiqua	added	
style	Ars Nova	Classical	mb_genres_v0	ars nova	added	
style	Ars Subtilior	Classical	mb_genres_v0	ars subtilior	added	
style	Art Pop	Pop	mb_genres_v0	art pop	added	
style	Art Punk	Rock	mb_genres_v0	art punk	added	
style	Art Rock	Rock	discogs_20260301_masters	Art Rock	native	10159
style	Art Rock	Rock	mb_genres_v0	art rock	exact	10159
style	Art Song	Classical	discogs_20260301_masters	Art Song	native	275
style	Art Song	Classical	mb_genres_v0	art song	exact	275
style	Asian Rock	Rock	mb_genres_v0	asian rock	added	
style	Asmr	Non-Music	mb_genres_v0	asmr	added	
style	Atmospheric Black Metal	Rock	discogs_20260301_masters	Atmospheric Black Metal	native	2469
style	Atmospheric Black Metal	Rock	mb_genres_v0	atmospheric black metal	exact	2469
style	Atmospheric Drum And Bass	Electronic	mb_genres_v0	atmospheric drum and bass	added	
style	Atmospheric Sludge Metal	Rock	mb_genres_v0	atmospheric sludge metal	added	
style	Atonal	Classical	discogs_20260301_masters	Atonal	native	8
style	Audio Documentary	Non-Music	mb_genres_v0	audio documentary	added	
style	Audio Drama	Non-Music	mb_genres_v0	audio drama	added	
style	Audiobook	Non-Music	discogs_20260301_masters	Audiobook	native	3110
style	Avant-Folk	Folk, World, & Country	mb_genres_v0	avant-folk	added	
style	Avant-garde Jazz	Jazz	discogs_20260301_masters	Avant-garde Jazz	native	3894
style	Avant-garde Jazz	Jazz	mb_genres_v0	avant-garde jazz	exact	3894
style	Avant-Garde Metal	Rock	mb_genres_v0	avant-garde metal	added	
style	Avant-Garde Pop	Pop	mb_genres_v0	avant-garde pop	added	
style	Avantgarde	Rock	discogs_20260301_masters	Avantgarde	native	10928
style	Avantgarde	Rock	mb_genres_v0	avant-garde	exact	10928
style	Axé	Latin	discogs_20260301_masters	Axé	native	330
style	Axé	Latin	mb_genres_v0	axé	exact	330
style	Azonto	Reggae	discogs_20260301_masters	Azonto	native	7
style	Bachata	Latin	discogs_20260301_masters	Bachata	native	460
style	Bachata	Latin	mb_genres_v0	bachata	exact	460
style	Bachatón	Latin	mb_genres_v0	bachatón	added	
style	Baila	Folk, World, & Country	discogs_20260301_masters	Baila	native	4
style	Baila	Folk, World, & Country	mb_genres_v0	baila	exact	4
style	Baião	Latin	discogs_20260301_masters	Baião	native	330
style	Baião	Latin	mb_genres_v0	baião	exact	330
style	Bakersfield Sound	Folk, World, & Country	discogs_20260301_masters	Bakersfield Sound	native	543
style	Bakersfield Sound	Folk, World, & Country	mb_genres_v0	bakersfield sound	exact	543
style	Balearic	Electronic	discogs_20260301_masters	Balearic	native	494
style	Balearic Trance	Electronic	mb_genres_v0	balearic trance	added	
style	Ballad	Pop	discogs_20260301_masters	Ballad	native	53830
style	Ballad	Pop	mb_genres_v0	ballad	exact	53830
style	Ballad Opera	Classical	mb_genres_v0	ballad opera	added	
style	Ballet	Classical	discogs_20260301_masters	Ballet	native	713
style	Ballet	Classical	mb_genres_v0	ballet	exact	713
style	Ballet De Cour	Classical	mb_genres_v0	ballet de cour	added	
style	Ballroom	Electronic	discogs_20260301_masters	Ballroom	native	79
style	Ballroom House	Electronic	mb_genres_v0	ballroom house	added	
style	Baltimore Club	Electronic	discogs_20260301_masters	Baltimore Club	native	106
style	Baltimore Club	Electronic	mb_genres_v0	baltimore club	exact	106
style	Bambuco	Latin	discogs_20260301_masters	Bambuco	native	99
style	Bambuco	Latin	mb_genres_v0	bambuco	exact	99
style	Banda	Latin	discogs_20260301_masters	Banda	native	170
style	Bangladeshi Classical	Folk, World, & Country	discogs_20260301_masters	Bangladeshi Classical	native	21
style	Barbershop	Pop	discogs_20260301_masters	Barbershop	native	257
style	Barbershop	Pop	mb_genres_v0	barbershop	exact	257
style	Bard Rock	Rock	mb_genres_v0	bard rock	added	
style	Baroque	Classical	discogs_20260301_masters	Baroque	native	19834
style	Baroque	Classical	mb_genres_v0	baroque	exact	19834
style	Baroque Pop	Rock	discogs_20260301_masters	Baroque Pop	native	399
style	Baroque Pop	Rock	mb_genres_v0	baroque pop	exact	399
style	Baroque Suite	Classical	mb_genres_v0	baroque suite	added	
style	Basque Music	Folk, World, & Country	discogs_20260301_masters	Basque Music	native	259
style	Bass House	Electronic	mb_genres_v0	bass house	added	
style	Bass Music	Hip Hop	discogs_20260301_masters	Bass Music	native	3374
style	Bassline	Electronic	discogs_20260301_masters	Bassline	native	546
style	Bassline	Electronic	mb_genres_v0	bassline	exact	546
style	Battle Rap	Hip Hop	mb_genres_v0	battle rap	added	
style	Batucada	Latin	discogs_20260301_masters	Batucada	native	469
style	Batucada	Latin	mb_genres_v0	batucada	exact	469
style	Bayou Funk	Funk / Soul	discogs_20260301_masters	Bayou Funk	native	374
style	Beat	Rock	discogs_20260301_masters	Beat	native	10967
style	Beat Rock	Rock	mb_genres_v0	beat rock	added	
style	Beatbox	Hip Hop	discogs_20260301_masters	Beatbox	native	106
style	Beatdown	Electronic	discogs_20260301_masters	Beatdown	native	262
style	Bebop	Jazz	mb_genres_v0	bebop	added	
style	Bedroom Pop	Pop	mb_genres_v0	bedroom pop	added	
style	Beguine	Latin	discogs_20260301_masters	Beguine	native	729
style	Bel Canto	Classical	discogs_20260301_masters	Bel Canto	native	7
style	Belgian Techno	Electronic	mb_genres_v0	belgian techno	added	
style	Beneventan Chant	Classical	mb_genres_v0	beneventan chant	added	
style	Bengali Music	Folk, World, & Country	discogs_20260301_masters	Bengali Music	native	145
style	Berlin-School	Electronic	discogs_20260301_masters	Berlin-School	native	4015
style	Berlin-School	Electronic	mb_genres_v0	berlin school	exact	4015
style	Bećarac	Folk, World, & Country	discogs_20260301_masters	Bećarac	native	4
style	Bhangra	Folk, World, & Country	discogs_20260301_masters	Bhangra	native	1108
style	Bhangra	Folk, World, & Country	mb_genres_v0	bhangra	exact	1108
style	Bhojpuri Pop	Pop	mb_genres_v0	bhojpuri pop	added	
style	Big Band	Jazz	discogs_20260301_masters	Big Band	native	17994
style	Big Band	Jazz	mb_genres_v0	big band	exact	17994
style	Big Beat	Electronic	discogs_20260301_masters	Big Beat	native	2467
style	Big Beat	Electronic	mb_genres_v0	big beat	exact	2467
style	Big Room House	Electronic	mb_genres_v0	big room house	added	
style	Big Room Trance	Electronic	mb_genres_v0	big room trance	added	
style	Birdsong	Non-Music	mb_genres_v0	birdsong	added	
style	Bit Music	Electronic	mb_genres_v0	bit music	added	
style	Bitpop	Electronic	discogs_20260301_masters	Bitpop	native	54
style	Bitpop	Electronic	mb_genres_v0	bitpop	exact	54
style	Black Metal	Rock	discogs_20260301_masters	Black Metal	native	37417
style	Black Metal	Rock	mb_genres_v0	black metal	exact	37417
style	Blackened Crust	Rock	mb_genres_v0	blackened crust	added	
