source	term	canonical	canonical_kind	status	action
mb_genres_v0	2 tone			new_style	ignore
mb_genres_v0	2-step			new_style	ignore
mb_genres_v0	3-step			new_style	ignore
mb_genres_v0	aak			new_style	ignore
mb_genres_v0	abhang			new_style	ignore
mb_genres_v0	aboio			new_style	ignore
mb_genres_v0	abstract hip hop			new_style	add/Hip Hop
mb_genres_v0	acholitronix			new_style	ignore
mb_genres_v0	acid breaks			new_style	add/Electronic
mb_genres_v0	acid house	Acid House	style	exact	none
mb_genres_v0	acid jazz	Acid Jazz	style	exact	none
mb_genres_v0	acid rock	Acid Rock	style	exact	none
mb_genres_v0	acid techno			new_style	add/Electronic
mb_genres_v0	acid trance			new_style	add/Electronic
mb_genres_v0	acidcore			new_style	ignore
mb_genres_v0	acousmatic			new_style	add/Electronic
mb_genres_v0	acoustic blues			new_style	add/Blues
mb_genres_v0	acoustic chicago blues			new_style	add/Blues
mb_genres_v0	acoustic rock			new_style	add/Rock
mb_genres_v0	acoustic texas blues			new_style	add/Blues
mb_genres_v0	adhunik geet			new_style	ignore
mb_genres_v0	afoxê			new_style	ignore
mb_genres_v0	african blues			new_style	add/Blues
mb_genres_v0	afro house			new_style	add/Electronic
mb_genres_v0	afro rock			new_style	add/Rock
mb_genres_v0	afro trap			new_style	ignore
mb_genres_v0	afro-cuban jazz	Afro-Cuban Jazz	style	exact	none
mb_genres_v0	afro-funk			new_style	add/Funk / Soul
mb_genres_v0	afro-jazz			new_style	add/Jazz
mb_genres_v0	afro-zouk			new_style	ignore
mb_genres_v0	afrobeat	Afrobeat	style	exact	none
mb_genres_v0	afrobeats			new_style	ignore
mb_genres_v0	afropiano			new_style	ignore
mb_genres_v0	afroswing			new_style	ignore
mb_genres_v0	agbadza			new_style	ignore
mb_genres_v0	agbekor			new_style	ignore
mb_genres_v0	aggrotech			new_style	ignore
mb_genres_v0	agronejo			new_style	ignore
mb_genres_v0	ahwash			new_style	ignore
mb_genres_v0	aita			new_style	ignore
mb_genres_v0	akishibu-kei			new_style	ignore
mb_genres_v0	al jeel			new_style	ignore
mb_genres_v0	aleke			new_style	ignore
mb_genres_v0	algerian chaabi			new_style	ignore
mb_genres_v0	algorave			new_style	add/Electronic
mb_genres_v0	alloukou			new_style	ignore
mb_genres_v0	alpenrock			new_style	ignore
mb_genres_v0	alté			new_style	ignore
mb_genres_v0	alternative country			new_style	add/Folk, World, & Country
mb_genres_v0	alternative dance			new_style	ignore
mb_genres_v0	alternative folk			new_style	add/Folk, World, & Country
mb_genres_v0	alternative hip hop			new_style	add/Hip Hop
mb_genres_v0	alternative metal	Alternative Metal	style	exact	none
mb_genres_v0	alternative pop			new_style	add/Pop
mb_genres_v0	alternative punk			new_style	add/Rock
mb_genres_v0	alternative r&b			new_style	add/Funk / Soul
mb_genres_v0	alternative rock	Alternative Rock	style	exact	none
mb_genres_v0	amapiano	Amapiano	style	exact	none
mb_genres_v0	ambasse bey			new_style	ignore
mb_genres_v0	ambient	Ambient	style	exact	none
mb_genres_v0	ambient americana			new_style	add/Folk, World, & Country
mb_genres_v0	ambient dub			new_style	ignore
mb_genres_v0	ambient house	Ambient House	style	exact	none
mb_genres_v0	ambient noise wall			new_style	ignore
mb_genres_v0	ambient plugg			new_style	add/Hip Hop
mb_genres_v0	ambient pop			new_style	add/Pop
mb_genres_v0	ambient techno			new_style	add/Electronic
mb_genres_v0	ambient trance			new_style	add/Electronic
mb_genres_v0	ambrosian chant			new_style	add/Classical
mb_genres_v0	american gamelan			new_style	ignore
mb_genres_v0	american primitive guitar			new_style	ignore
mb_genres_v0	americana			new_style	add/Folk, World, & Country
mb_genres_v0	amigacore			new_style	ignore
mb_genres_v0	anarcho-punk	Anarcho-Punk	style	exact	none
mb_genres_v0	anatolian rock	Anatolian Rock	style	exact	none
mb_genres_v0	andalusian classical	Andalusian Classical	style	exact	none
mb_genres_v0	andean new age			new_style	ignore
mb_genres_v0	anglican chant			new_style	ignore
mb_genres_v0	animal sounds			new_style	add/Non-Music
mb_genres_v0	anti-folk	Antifolk	style	exact	none
mb_genres_v0	aor	AOR	style	exact	none
mb_genres_v0	apala			new_style	ignore
mb_genres_v0	appalachian folk			new_style	add/Folk, World, & Country
mb_genres_v0	aquacrunk			new_style	ignore
mb_genres_v0	arabesk			new_style	ignore
mb_genres_v0	arabesk rap			new_style	add/Hip Hop
mb_genres_v0	arena rock	Arena Rock	style	exact	none
mb_genres_v0	arrocha			new_style	ignore
mb_genres_v0	arrocha funk			new_style	ignore
mb_genres_v0	arrocha sertanejo			new_style	ignore
mb_genres_v0	arrochadeira			new_style	ignore
mb_genres_v0	ars antiqua			new_style	add/Classical
mb_genres_v0	ars nova			new_style	add/Classical
mb_genres_v0	ars subtilior			new_style	add/Classical
mb_genres_v0	art pop			new_style	add/Pop
mb_genres_v0	art punk			new_style	add/Rock
mb_genres_v0	art rock	Art Rock	style	exact	none
mb_genres_v0	art song	Art Song	style	exact	none
mb_genres_v0	artcore			new_style	ignore
mb_genres_v0	ashkenazi cantorial music			new_style	ignore
mb_genres_v0	asian rock			new_style	add/Rock
mb_genres_v0	asmr			new_style	add/Non-Music
mb_genres_v0	assiko			new_style	ignore
mb_genres_v0	atmospheric black metal	Atmospheric Black Metal	style	exact	none
mb_genres_v0	atmospheric drum and bass			new_style	add/Electronic
mb_genres_v0	atmospheric sludge metal			new_style	add/Rock
mb_genres_v0	audio documentary			new_style	add/Non-Music
mb_genres_v0	audio drama			new_style	add/Non-Music
mb_genres_v0	autonomic			new_style	ignore
mb_genres_v0	avant-folk			new_style	add/Folk, World, & Country
mb_genres_v0	avant-garde	Avantgarde	style	exact	none
mb_genres_v0	avant-garde jazz	Avant-garde Jazz	style	exact	none
mb_genres_v0	avant-garde metal			new_style	add/Rock
mb_genres_v0	avant-garde pop			new_style	add/Pop
mb_genres_v0	avant-prog			new_style	ignore
mb_genres_v0	avanzada			new_style	ignore
mb_genres_v0	avtorskaya pesnya			new_style	ignore
mb_genres_v0	axé	Axé	style	exact	none
mb_genres_v0	bacardi			new_style	ignore
mb_genres_v0	bachata	Bachata	style	exact	none
mb_genres_v0	bachatón			new_style	add/Latin
mb_genres_v0	bagad			new_style	ignore
mb_genres_v0	bagatelle			new_style	ignore
mb_genres_v0	baguala			new_style	ignore
mb_genres_v0	baião	Baião	style	exact	none
mb_genres_v0	baila	Baila	style	exact	none
mb_genres_v0	baisha xiyue			new_style	ignore
mb_genres_v0	baithak gana			new_style	ignore
mb_genres_v0	bakersfield sound	Bakersfield Sound	style	exact	none
mb_genres_v0	balani show			new_style	ignore
mb_genres_v0	balearic beat			new_style	ignore
mb_genres_v0	balearic trance			new_style	add/Electronic
mb_genres_v0	balinese gamelan			new_style	ignore
mb_genres_v0	balitaw			new_style	ignore
mb_genres_v0	ballad	Ballad	style	exact	none
mb_genres_v0	ballad opera			new_style	add/Classical
mb_genres_v0	ballet	Ballet	style	exact	none
mb_genres_v0	ballet de cour			new_style	add/Classical
mb_genres_v0	ballroom house			new_style	add/Electronic
mb_genres_v0	baltimore club	Baltimore Club	style	exact	none
mb_genres_v0	bambuco	Bambuco	style	exact	none
mb_genres_v0	banda sinaloense			new_style	ignore
mb_genres_v0	bandari			new_style	ignore
mb_genres_v0	bandinha			new_style	ignore
mb_genres_v0	banga			new_style	ignore
mb_genres_v0	bantengan			new_style	ignore
mb_genres_v0	baqashot			new_style	ignore
mb_genres_v0	barber beats			new_style	ignore
mb_genres_v0	barbershop	Barbershop	style	exact	none
mb_genres_v0	bard rock			new_style	add/Rock
mb_genres_v0	bardcore			new_style	ignore
mb_genres_v0	baroque	Baroque	style	exact	none
mb_genres_v0	baroque pop	Baroque Pop	style	exact	none
mb_genres_v0	baroque suite			new_style	add/Classical
mb_genres_v0	bashment soca			new_style	ignore
mb_genres_v0	bass house			new_style	add/Electronic
mb_genres_v0	bassline	Bassline	style	exact	none
mb_genres_v0	batida			new_style	ignore
mb_genres_v0	batidão romântico			new_style	ignore
mb_genres_v0	batonebi songs			new_style	ignore
mb_genres_v0	battle rap			new_style	add/Hip Hop
mb_genres_v0	battle record			new_style	ignore
mb_genres_v0	batucada	Batucada	style	exact	none
mb_genres_v0	batuque			new_style	ignore
mb_genres_v0	baul gaan			new_style	ignore
mb_genres_v0	beach music			new_style	ignore
mb_genres_v0	beat bolha			new_style	ignore
mb_genres_v0	beat bruxaria			new_style	ignore
mb_genres_v0	beat fino			new_style	ignore
mb_genres_v0	beat music			new_style	ignore
mb_genres_v0	beat poetry			new_style	ignore
mb_genres_v0	beat rock			new_style	add/Rock
mb_genres_v0	beatboxing			new_style	ignore
mb_genres_v0	beatdown hardcore			new_style	ignore
mb_genres_v0	bebop			new_style	add/Jazz
mb_genres_v0	bedroom pop			new_style	add/Pop
mb_genres_v0	beijing opera			new_style	ignore
mb_genres_v0	bélé			new_style	ignore
mb_genres_v0	belgian techno			new_style	add/Electronic
mb_genres_v0	bend-skin			new_style	ignore
mb_genres_v0	beneventan chant			new_style	add/Classical
mb_genres_v0	benga			new_style	ignore
mb_genres_v0	beni			new_style	ignore
mb_genres_v0	benna			new_style	ignore
mb_genres_v0	beompae			new_style	ignore
mb_genres_v0	bérite club			new_style	ignore
mb_genres_v0	berlin school	Berlin-School	style	exact	none
mb_genres_v0	bhajan			new_style	ignore
mb_genres_v0	bhangra	Bhangra	style	exact	none
mb_genres_v0	bhavageethe			new_style	ignore
mb_genres_v0	bhojpuri pop			new_style	add/Pop
mb_genres_v0	big band	Big Band	style	exact	none
mb_genres_v0	big beat	Big Beat	style	exact	none
mb_genres_v0	big room house			new_style	add/Electronic
mb_genres_v0	big room trance			new_style	add/Electronic
mb_genres_v0	biguine			new_style	ignore
mb_genres_v0	bikutsi			new_style	ignore
mb_genres_v0	binaural beats			new_style	ignore
mb_genres_v0	biraha			new_style	ignore
mb_genres_v0	birdsong			new_style	add/Non-Music
mb_genres_v0	birmingham sound			new_style	ignore
mb_genres_v0	bit music			new_style	add/Electronic
mb_genres_v0	bitpop	Bitpop	style	exact	none
mb_genres_v0	black 'n' roll			new_style	ignore
mb_genres_v0	black ambient			new_style	ignore
mb_genres_v0	black metal	Black Metal	style	exact	none
mb_genres_v0	black midi			new_style	ignore
mb_genres_v0	black noise			new_style	ignore
mb_genres_v0	blackened crust			new_style	add/Rock
mb_genres_v0	blackened death metal			new_style	add/Rock
mb_genres_v0	blackgaze	Blackgaze	style	exact	none
mb_genres_v0	bleep techno			new_style	add/Electronic
mb_genres_v0	blue-eyed soul			new_style	add/Funk / Soul
mb_genres_v0	bluegrass	Bluegrass	style	exact	none
mb_genres_v0	bluegrass gospel			new_style	ignore
mb_genres_v0	blues	Blues	genre	exact	none
mb_genres_v0	blues rock	Blues Rock	style	exact	none
mb_genres_v0	bocet			new_style	ignore
mb_genres_v0	boduberu			new_style	ignore
mb_genres_v0	boedra			new_style	ignore
mb_genres_v0	bogino duu			new_style	ignore
mb_genres_v0	bolero	Bolero	style	exact	none
mb_genres_v0	bolero español			new_style	add/Latin
mb_genres_v0	bolero son			new_style	add/Latin
mb_genres_v0	bolero-beat			new_style	add/Latin
mb_genres_v0	bomba	Bomba	style	exact	none
mb_genres_v0	bomba del chota			new_style	add/Latin
mb_genres_v0	bongo flava	Bongo Flava	style	exact	none
mb_genres_v0	boogaloo	Boogaloo	style	exact	none
mb_genres_v0	boogie	Boogie	style	exact	none
mb_genres_v0	boogie rock			new_style	add/Rock
mb_genres_v0	boogie-woogie	Boogie Woogie	style	exact	none
mb_genres_v0	boom bap	Boom Bap	style	exact	none
mb_genres_v0	bossa nova	Bossa Nova	style	exact	none
mb_genres_v0	bounce	Bounce	style	exact	none
mb_genres_v0	bounce beat			new_style	ignore
mb_genres_v0	bouncy techno	Bouncy Techno	style	exact	none
mb_genres_v0	bouyon			new_style	ignore
mb_genres_v0	boyfriend country			new_style	add/Folk, World, & Country
mb_genres_v0	brass band	Brass Band	style	exact	none
mb_genres_v0	brazilian bass			new_style	ignore
mb_genres_v0	brazilian phonk			new_style	add/Hip Hop
mb_genres_v0	break-in	Break-In	style	exact	none
mb_genres_v0	breakbeat	Breakbeat	style	exact	none
mb_genres_v0	breakbeat hardcore			new_style	add/Electronic
mb_genres_v0	breakbeat kota			new_style	add/Electronic
mb_genres_v0	breakcore	Breakcore	style	exact	none
mb_genres_v0	breaks	Breaks	style	exact	none
mb_genres_v0	breakstep			new_style	ignore
mb_genres_v0	brega	Brega	style	exact	none
mb_genres_v0	brega calypso			new_style	ignore
mb_genres_v0	brega funk			new_style	ignore
mb_genres_v0	briddim			new_style	ignore
mb_genres_v0	brill building			new_style	ignore
mb_genres_v0	brit funk			new_style	add/Funk / Soul
mb_genres_v0	britcore	Britcore	style	exact	none
mb_genres_v0	british blues			new_style	add/Blues
mb_genres_v0	british brass band			new_style	add/Brass & Military
mb_genres_v0	british folk rock			new_style	add/Rock
mb_genres_v0	british rhythm & blues			new_style	ignore
mb_genres_v0	britpop	Britpop	style	exact	none
mb_genres_v0	bro-country			new_style	add/Folk, World, & Country
mb_genres_v0	broadband noise			new_style	ignore
mb_genres_v0	broken beat	Broken Beat	style	exact	none
mb_genres_v0	broken transmission			new_style	ignore
mb_genres_v0	brostep			new_style	ignore
mb_genres_v0	brutal death metal	Brutal Death Metal	style	exact	none
mb_genres_v0	brutal prog			new_style	ignore
mb_genres_v0	bubblegum bass			new_style	ignore
mb_genres_v0	bubblegum dance			new_style	ignore
mb_genres_v0	bubblegum pop			new_style	add/Pop
mb_genres_v0	bubbling	Bubbling	style	exact	none
mb_genres_v0	bubbling house			new_style	add/Electronic
mb_genres_v0	buchiage trance			new_style	add/Electronic
mb_genres_v0	budots			new_style	ignore
mb_genres_v0	bulería			new_style	ignore
mb_genres_v0	bullerengue			new_style	ignore
mb_genres_v0	burger-highlife			new_style	ignore
mb_genres_v0	burmese classical			new_style	ignore
mb_genres_v0	burmese mono			new_style	ignore
mb_genres_v0	burmese stereo			new_style	ignore
mb_genres_v0	burning spirits			new_style	ignore
mb_genres_v0	burrakatha			new_style	ignore
mb_genres_v0	bytebeat			new_style	add/Electronic
mb_genres_v0	byzantine chant			new_style	add/Classical
mb_genres_v0	c-pop			new_style	add/Pop
mb_genres_v0	c86			new_style	ignore
mb_genres_v0	ca trù			new_style	ignore
mb_genres_v0	cabaret	Cabaret	style	exact	none
mb_genres_v0	cabo zouk			new_style	ignore
mb_genres_v0	cadence lypso			new_style	ignore
mb_genres_v0	cadence rampa			new_style	ignore
mb_genres_v0	cải lương			new_style	ignore
mb_genres_v0	cajun	Cajun	style	exact	none
mb_genres_v0	cakewalk			new_style	ignore
mb_genres_v0	čalgija			new_style	ignore
mb_genres_v0	calipso venezolano			new_style	ignore
mb_genres_v0	calypso	Calypso	style	exact	none
mb_genres_v0	campursari			new_style	ignore
mb_genres_v0	campus folk			new_style	add/Folk, World, & Country
mb_genres_v0	canción melódica			new_style	ignore
mb_genres_v0	candombe	Candombe	style	exact	none
mb_genres_v0	candombe beat			new_style	add/Latin
mb_genres_v0	cantata	Cantata	style	exact	none
mb_genres_v0	cante alentejano			new_style	ignore
mb_genres_v0	canterbury scene			new_style	ignore
mb_genres_v0	canto a lo poeta			new_style	ignore
mb_genres_v0	canto cardenche			new_style	ignore
mb_genres_v0	canto degli alpini			new_style	ignore
mb_genres_v0	cantonese opera			new_style	ignore
mb_genres_v0	cantopop	Cantopop	style	exact	none
mb_genres_v0	cantoria			new_style	ignore
mb_genres_v0	cantu a chiterra			new_style	ignore
mb_genres_v0	cantu a tenore			new_style	ignore
mb_genres_v0	canzona			new_style	ignore
mb_genres_v0	canzone d'autore			new_style	ignore
mb_genres_v0	canzone napoletana	Canzone Napoletana	style	exact	none
mb_genres_v0	canzone neomelodica			new_style	ignore
mb_genres_v0	cape breton fiddling			new_style	ignore
mb_genres_v0	cape jazz	Cape Jazz	style	exact	none
mb_genres_v0	caporal			new_style	ignore
mb_genres_v0	capriccio	Capriccio	style	exact	none
mb_genres_v0	carimbó	Carimbó	style	exact	none
mb_genres_v0	carnatic classical			new_style	ignore
mb_genres_v0	carnavalito			new_style	add/Latin
mb_genres_v0	carranga			new_style	ignore
mb_genres_v0	celtic	Celtic	style	exact	none
mb_genres_v0	celtic chant			new_style	ignore
mb_genres_v0	celtic electronica			new_style	add/Electronic
mb_genres_v0	celtic metal			new_style	add/Rock
mb_genres_v0	celtic new age			new_style	ignore
mb_genres_v0	celtic punk			new_style	add/Rock
mb_genres_v0	celtic rock			new_style	add/Rock
mb_genres_v0	central asian throat singing			new_style	ignore
mb_genres_v0	chacarera	Chacarera	style	exact	none
mb_genres_v0	chachachá			new_style	add/Latin
mb_genres_v0	chalga			new_style	ignore
mb_genres_v0	chamamé	Chamamé	style	exact	none
mb_genres_v0	chamamé tropical			new_style	add/Latin
mb_genres_v0	chamarrita açoriana			new_style	ignore
mb_genres_v0	chamarrita rioplatense			new_style	ignore
mb_genres_v0	chamber folk			new_style	add/Folk, World, & Country
mb_genres_v0	chamber pop			new_style	add/Pop
mb_genres_v0	champeta	Champeta	style	exact	none
mb_genres_v0	changa tuki			new_style	ignore
mb_genres_v0	change ringing			new_style	ignore
mb_genres_v0	changjak gugak			new_style	ignore
mb_genres_v0	changüí			new_style	ignore
mb_genres_v0	chanson à texte			new_style	ignore
mb_genres_v0	chanson française			new_style	ignore
mb_genres_v0	chanson québécoise			new_style	ignore
mb_genres_v0	chanson réaliste			new_style	ignore
mb_genres_v0	chaozhou xianshi			new_style	ignore
mb_genres_v0	chap hop			new_style	ignore
mb_genres_v0	character piece			new_style	ignore
mb_genres_v0	charanga	Charanga	style	exact	none
mb_genres_v0	chazzanut			new_style	ignore
mb_genres_v0	chèo			new_style	ignore
mb_genres_v0	chicago blues	Chicago Blues	style	exact	none
mb_genres_v0	chicago bop			new_style	ignore
mb_genres_v0	chicago drill			new_style	add/Hip Hop
mb_genres_v0	chicago house			new_style	add/Electronic
mb_genres_v0	chicago polka			new_style	ignore
mb_genres_v0	chicago soul			new_style	add/Funk / Soul
mb_genres_v0	chicano rap			new_style	add/Hip Hop
mb_genres_v0	chicha			new_style	add/Latin
mb_genres_v0	children's music			new_style	add/Children's
mb_genres_v0	chilena			new_style	add/Latin
mb_genres_v0	chillout			new_style	ignore
mb_genres_v0	chillstep			new_style	add/Electronic
mb_genres_v0	chillsynth			new_style	add/Electronic
mb_genres_v0	chillwave	Chillwave	style	exact	none
mb_genres_v0	chimayche			new_style	ignore
mb_genres_v0	chimurenga			new_style	ignore
mb_genres_v0	chinese classical	Chinese Classical	style	exact	none
mb_genres_v0	chinese literati music			new_style	ignore
mb_genres_v0	chinese opera			new_style	ignore
mb_genres_v0	chinese revolutionary opera			new_style	ignore
mb_genres_v0	chipmunk soul			new_style	add/Funk / Soul
mb_genres_v0	chiptune	Chiptune	style	exact	none
mb_genres_v0	chöd			new_style	ignore
mb_genres_v0	chopped and screwed			new_style	add/Hip Hop
mb_genres_v0	chopper			new_style	ignore
mb_genres_v0	choral symphony			new_style	ignore
mb_genres_v0	choro	Choro	style	exact	none
mb_genres_v0	chotis madrileño			new_style	ignore
mb_genres_v0	christian hardcore			new_style	ignore
mb_genres_v0	christian hip hop			new_style	add/Hip Hop
mb_genres_v0	christian metal			new_style	add/Rock
mb_genres_v0	christian rock			new_style	add/Rock
mb_genres_v0	christmas music			new_style	ignore
mb_genres_v0	church music			new_style	ignore
mb_genres_v0	chutney	Chutney	style	exact	none
mb_genres_v0	chutney soca			new_style	ignore
mb_genres_v0	cilokaq			new_style	ignore
mb_genres_v0	cinematic classical			new_style	ignore
mb_genres_v0	ciranda			new_style	ignore
mb_genres_v0	circus march			new_style	add/Brass & Military
mb_genres_v0	city pop	City Pop	style	exact	none
mb_genres_v0	classic blues			new_style	add/Blues
mb_genres_v0	classic country			new_style	add/Folk, World, & Country
mb_genres_v0	classic jazz			new_style	add/Jazz
mb_genres_v0	classic ragtime			new_style	add/Jazz
mb_genres_v0	classic rock	Classic Rock	style	exact	none
mb_genres_v0	classical	Classical	genre	exact	none
mb_genres_v0	classical crossover			new_style	add/Classical
mb_genres_v0	classical period			new_style	add/Classical
mb_genres_v0	close harmony			new_style	ignore
mb_genres_v0	cloud rap	Cloud Rap	style	exact	none
mb_genres_v0	club			new_style	ignore
mb_genres_v0	cocktail nation			new_style	ignore
mb_genres_v0	coco			new_style	ignore
mb_genres_v0	coke rap			new_style	add/Hip Hop
mb_genres_v0	coladeira			new_style	ignore
mb_genres_v0	coldwave	Coldwave	style	exact	none
mb_genres_v0	colindă			new_style	ignore
mb_genres_v0	colour bass			new_style	add/Electronic
mb_genres_v0	comédie-ballet			new_style	add/Classical
mb_genres_v0	comedy	Comedy	style	exact	none
mb_genres_v0	comedy hip hop			new_style	add/Hip Hop
